#{"t_start": 1742901142.3102164, "env_id": "None"}
r,l,t
9.059525,58,6.103802
-100.284072,9,6.399711
8.960787,43,7.834314
-100.451924,9,8.130849
8.924793,44,9.596468
9.919052,11,9.956457
9.628256,27,10.831941
9.23008,31,11.837707
7.194279,104,15.248598
9.673932,23,16.000006
9.26388,37,17.200269
9.833503,15,17.700039
9.774168,19,18.312147
9.789059,19,18.931953
6.216818,152,23.873207
9.925005,10,24.200514
9.729864,22,24.908037
8.209514,100,28.148688
9.291522,26,28.988061
9.946689,7,29.216656
9.297559,20,29.868104
9.927323,14,30.322082
9.850642,16,30.838619
9.899248,17,31.404706
9.561455,37,32.604199
9.922696,11,32.960345
9.522826,21,33.648079
9.223114,19,34.268238
9.017029,51,35.920684
9.424991,28,36.832029
9.905528,12,37.220231
9.79434,25,38.032428
9.934775,9,38.326187
9.580109,27,39.204649
9.67229,26,40.048503
9.008532,32,41.088574
6.279504,143,45.719948
9.284666,97,48.878096
9.724989,14,49.332458
9.794033,15,49.81601
9.462187,22,50.536669
9.863144,13,50.952039
9.751195,21,51.63601
9.153314,25,52.447967
9.448809,29,53.388739
8.93383,139,57.908106
2.269915,192,64.147968
9.520524,32,65.192264
8.118408,74,67.603869
8.779797,50,69.225944
9.575575,28,70.129829
9.319604,29,71.107928
9.449546,28,72.019903
9.893187,23,72.76857
9.769428,18,73.352721
9.856504,15,73.836419
9.804741,19,74.456381
9.853537,21,75.136634
9.859143,16,75.652006
9.919859,17,76.20404
9.589749,21,76.888095
9.778384,15,77.375798
9.88115,14,77.832066
9.869231,12,78.22427
9.933124,9,78.516219
4.896991,178,84.300841
9.42553,38,85.531857
9.842973,16,86.056604
9.871446,20,86.704621
9.250443,27,87.590832
9.402183,55,89.378735
9.790061,15,89.868004
9.227035,36,91.032836
9.653748,40,92.334323
9.392456,35,93.476236
9.349564,31,94.484826
9.814551,18,95.056359
9.74977,19,95.678081
9.456868,22,96.390813
9.756765,29,97.334576
9.179587,24,98.112267
-0.461477,361,128.956243
9.889633,12,129.343918
9.851609,15,129.838307
9.603226,23,130.580142
9.469756,26,131.449829
9.530731,19,132.060541
9.750387,26,132.905512
9.623119,20,133.553148
9.886718,15,134.0385
9.871459,11,134.397795
9.919403,9,134.680373
9.852359,12,135.070056
9.736938,19,135.691882
9.318878,30,136.669918
9.728646,22,137.386941
9.716234,19,138.026935
9.905412,15,138.516956
9.410973,20,139.168028
9.234081,20,139.821786
