#{"t_start": 1741318469.8885946, "env_id": "None"}
r,l,t
-106.581599,94,3.977537
1.059499,60,5.973135
3.606639,27,6.84632
4.722815,9,7.13814
4.156684,17,7.691499
-21.872476,497,10.871601
1.838059,63,11.001216
4.443481,15,11.032578
4.70997,8,11.056158
2.416326,53,11.166105
1.880637,105,11.383264
3.859858,30,11.448234
2.317684,89,11.631277
4.917791,3,11.641751
4.730013,8,11.665371
2.635347,44,11.752496
-0.509866,91,11.933803
2.760254,39,12.028453
3.759377,25,12.085009
3.257735,47,12.181357
2.807879,35,12.262409
2.072918,48,12.363452
-0.522685,184,12.724506
3.448436,29,12.784839
1.034398,73,12.933418
-1.919851,247,13.411834
3.441484,38,13.491877
4.793768,7,13.509708
3.971095,30,13.571259
4.395674,15,13.604678
4.718234,9,13.624567
2.909539,72,14.011317
0.278413,119,14.244238
2.286663,47,14.338212
1.637248,69,14.475528
1.879252,70,14.618846
3.056677,43,14.703779
1.609354,59,14.829214
3.55497,36,14.900722
4.63466,11,14.924322
2.838611,38,15.048633
-3.963962,136,15.324516
3.932345,18,15.362839
2.89906,63,15.4951
3.088551,35,15.564706
4.494429,14,15.596141
3.932455,21,15.641272
4.688008,9,15.662776
3.846483,30,15.730762
1.450991,56,15.846642
3.785199,20,15.889388
4.382856,15,15.923174
4.698384,9,15.943702
3.923221,21,16.041548
3.948116,29,16.107491
4.843637,5,16.123273
4.43237,15,16.159496
4.445456,15,16.193596
1.787647,49,16.299685
3.305453,32,16.372775
2.733447,54,16.487554
4.754159,8,16.507206
0.846876,132,16.768485
2.477303,39,16.847917
3.359295,33,16.924087
4.7221,8,16.94235
3.339139,28,17.046453
3.645134,23,17.096312
4.227397,19,17.142507
3.952778,31,17.215862
1.094828,62,17.345046
4.632098,10,17.367366
3.376479,31,17.431609
1.61191,90,17.619933
2.916087,29,17.680145
2.955449,31,17.74505
2.701691,43,17.839571
0.368622,77,17.992875
-25.09077,405,18.905737
4.532351,13,18.933067
3.416155,24,18.984169
3.794753,25,19.088729
4.352761,14,19.121644
4.693376,9,19.142655
2.902788,42,19.236158
3.434987,28,19.304651
2.600021,35,19.381072
1.994264,44,19.471585
-15.082472,304,20.081709
2.172699,50,20.18691
3.74272,30,20.255909
4.383375,15,20.290005
3.368229,27,20.346812
2.933328,34,20.416884
4.112729,21,20.462013
2.372976,38,20.552031
3.755965,25,20.604549
4.147589,21,20.649919
-104.257244,71,20.80397
-0.563515,75,20.980387
3.806169,27,21.034889
-37.089934,856,22.887225
4.571513,12,22.919475
-5.534674,146,23.23229
4.359028,16,23.269118
4.626085,11,23.294719
-103.168704,50,23.39957
1.506151,51,23.52413
4.206541,23,23.572618
0.542307,89,23.758667
3.887944,25,23.814764
1.965313,60,23.939694
4.493598,13,23.970464
4.153638,26,24.030198
-112.79824,255,24.547207
1.343717,53,24.717607
2.68265,55,24.83699
4.237302,18,24.880757
-10.139602,213,25.324952
4.390018,14,25.353808
4.553167,12,25.384189
4.556196,11,25.409003
4.252125,18,25.44739
3.900911,34,25.523276
3.182137,32,25.586196
4.293184,15,25.616107
2.819637,47,25.708935
-8.756745,406,26.501314
3.809069,22,26.548988
4.290803,18,26.584347
3.947661,23,26.631941
-101.487769,14,26.664246
1.339008,49,26.778992
4.15402,18,26.816837
3.576292,42,26.900379
3.798454,23,26.94871
4.657986,11,26.97633
4.711035,8,26.994234
4.553756,12,27.019351
-0.511305,83,27.258619
3.65184,23,27.309611
3.552711,51,27.410555
2.95469,27,27.468341
0.87853,69,27.608893
4.734959,8,27.627155
4.388454,12,27.65254
1.733901,73,27.793897
1.757126,59,27.91364
4.163037,20,27.957261
3.553081,26,28.010841
2.672481,41,28.092427
3.881356,29,28.148859
3.974769,19,28.199816
4.689933,10,28.223229
3.824416,27,28.278242
4.19615,20,28.319927
2.047944,42,28.402707
0.68197,79,28.562851
4.866458,4,28.574721
2.753778,40,28.654965
4.256248,19,28.695238
2.907507,42,28.784225
3.793087,33,28.853758
