#{"t_start": 1741248269.6610308, "env_id": "None"}
r,l,t
-110.278078,152,1.289092
-149.841241,487,2.300017
-107.796041,204,2.752901
-127.11075,411,3.617148
-109.04621,170,4.000779
-162.594944,756,5.763744
-141.83321,432,6.64685
-123.633522,404,7.477083
-142.629075,569,8.638436
-83.43783,1000,10.421372
-124.411722,257,10.877499
-135.950093,350,11.473871
-125.663627,302,12.043792
-107.968546,151,12.30838
-138.416243,384,12.962137
-121.697101,282,13.545865
-161.926617,684,14.679679
-114.444232,159,14.975606
-100.614765,17,15.02568
-137.355841,408,15.732813
-120.390018,184,16.054574
-133.677124,359,16.670662
-147.573024,482,17.582515
-129.557289,392,18.255235
-139.007803,381,18.908175
-136.533694,276,19.364736
-133.677545,328,19.915041
-128.126011,224,20.291707
-137.491708,370,20.992244
-130.234247,336,21.547112
-117.577906,250,21.965507
-138.75868,334,22.524175
-197.536799,809,23.931493
-129.076302,373,24.565018
-122.468511,251,24.9855
-121.90174,235,25.392594
-155.828616,473,26.188915
-124.236369,284,26.671987
-203.650964,948,28.335739
-161.03197,529,29.220709
-171.480917,778,30.490113
-196.78434,996,32.275047
-161.372018,571,33.257931
-145.472463,498,34.096911
-186.522697,761,35.481711
-184.422694,886,36.951268
-131.602075,374,37.607595
-202.542541,939,39.241765
-177.614663,795,40.607624
-167.268306,710,41.88624
-135.739324,523,42.8008
-76.272585,1000,44.487486
-101.395469,14,44.513568
-155.909977,642,45.672875
-168.823713,882,47.205047
-147.882833,629,48.329755
-81.783672,1000,50.112555
-116.251979,265,50.555732
-156.992473,639,51.634506
-189.448349,894,53.216511
-158.369727,571,54.142128
-165.462157,590,55.124574
-179.500237,821,56.584145
-153.441514,576,57.549121
-156.461595,592,58.532795
-98.949501,1000,60.26499
-109.361387,77,60.416155
-111.392295,1000,62.05964
-160.599082,565,63.078414
-107.92502,1000,64.751153
-139.13546,509,65.61019
-143.200792,558,66.638695
4.711446,8,66.673805
-213.66313,865,68.084631
-126.208867,279,68.576281
-106.301615,107,68.773822
-160.038618,612,69.884689
-167.747453,691,71.078151
-105.784223,1000,72.703273
-101.206358,8,72.7179
-190.593815,887,74.300242
-109.627462,128,74.53095
-116.882881,1000,76.168993
-106.974814,59,76.269258
-203.45721,832,77.70899
-182.151326,740,78.995179
-116.821337,1000,80.756896
-102.290291,25,80.800806
-186.042451,778,82.097311
-166.739949,639,83.196671
-175.381908,769,84.560139
-161.774923,577,85.528522
-191.373127,718,86.721904
-90.11661,1000,88.545428
-108.420253,129,88.764844
-142.11568,430,89.49494
-93.414124,1000,91.246553
-186.834614,822,92.594675
-162.591285,533,93.473274
-120.974925,1000,95.200075
-109.139989,85,95.34733
-208.969991,996,97.045789
-111.343388,158,97.332857
-180.444717,777,98.755225
-146.520958,653,99.85039
-90.17389,1000,101.597955
-176.109292,623,102.586011
-83.2687,1000,104.253599
-100.801164,10,104.271891
-100.896603,1000,106.011926
-105.211872,61,106.12696
-189.805012,890,107.650246
-108.450267,189,107.992995
-172.573636,846,109.475653
-105.650125,1000,111.142025
-123.692409,343,111.728893
-171.318581,753,113.095416
-103.804937,145,113.349438
-105.651575,1000,115.017255
-100.970313,14,115.042368
-93.562571,1000,116.785625
-173.90616,677,117.900177
-101.580058,1000,119.657959
-132.251628,340,120.199609
-76.606103,1000,121.878842
-134.967442,315,122.432809
-124.963908,354,123.118694
-171.846032,807,124.517315
-135.615866,437,125.262794
-147.491873,549,126.277153
-73.139105,1000,127.966667
-110.035476,85,128.115461
-160.388331,621,129.174203
-94.623455,1000,130.881916
-132.9573,395,131.531784
-106.463377,1000,133.21956
-150.278892,494,134.022119
-186.010793,888,135.50488
-80.868931,1000,137.30276
-114.770002,158,137.580137
-86.995321,1000,139.212853
-73.379398,1000,140.953777
-120.878267,292,141.429785
-107.658225,147,141.693099
-65.153623,1000,143.354993
-105.779835,106,143.530308
-135.471088,420,144.336875
-116.964511,1000,146.008276
-138.470059,518,146.87933
-87.173422,1000,148.647015
-102.395386,1000,150.256698
-105.252888,63,150.359399
-109.889698,1000,152.064158
-191.50864,666,153.074625
-70.866617,1000,154.806279
-134.94738,476,155.583068
-82.501099,1000,157.216795
-116.245748,210,157.660512
-101.213754,25,157.720786
-100.86986,26,157.783007
-65.419358,1000,159.414694
-109.441446,143,159.648533
0.509615,120,159.860712
-140.362346,523,160.71058
-91.303927,1000,162.420846
-112.113847,173,162.703711
-128.087938,685,163.831891
-86.104922,1000,165.594194
-205.434452,900,167.053328
-83.18574,1000,168.831561
-203.534133,813,170.144984
-200.394889,926,171.790447
-71.076808,1000,173.455613
-122.798861,291,173.94313
-101.847924,26,174.0081
-130.706765,431,174.758268
-191.291525,976,176.48899
-113.767009,1000,178.157291
-103.395817,57,178.255016
-168.909427,563,179.246397
-186.812546,961,180.860794
-196.183903,984,182.569086
-118.251183,1000,184.206776
-134.043864,312,184.737381
-119.121418,1000,186.442317
-154.543048,532,187.30092
-133.208825,1000,188.998672
-142.957255,310,189.48138
-122.721091,1000,191.096011
-140.23231,1000,192.725723
-116.455574,286,193.192266
-196.710711,908,194.754563
-116.010916,1000,196.435577
-137.23545,451,197.180616
-117.302413,1000,198.783001
-181.52564,714,200.007804
-123.08799,1000,201.603009
-147.848264,373,202.291593
-115.209748,1000,203.888394
-133.583964,289,204.327364
-194.547197,943,205.954489
-117.323974,1000,207.561622
-100.66871,9,207.578181
-176.699922,861,209.032571
-109.54912,1000,210.591883
-165.51055,894,212.018855
-112.274265,1000,213.751591
-113.426429,147,213.992625
-115.811951,1000,215.574855
-152.859922,564,216.5589
-104.93205,1000,218.203892
-116.060999,1000,219.873347
-103.569861,1000,221.435157
-101.482535,17,221.464331
-110.580031,1000,223.131044
-113.532095,1000,224.686737
-121.272072,173,224.966076
-110.233509,1000,226.602865
-109.745434,1000,228.186147
-103.390998,35,228.245052
-105.993245,1000,229.901758
-132.607158,276,230.335629
-205.055797,990,231.934612
-185.454105,836,233.394722
-114.079499,1000,234.995444
-176.315219,943,236.590615
-121.756862,1000,238.172173
-111.937703,1000,239.861665
-117.567012,179,240.160103
-93.511463,1000,241.809001
-188.956013,770,243.084368
-128.192206,1000,244.644229
-128.390256,246,245.020748
-114.411715,1000,246.685114
-86.42219,1000,248.322903
-175.323816,986,250.020247
-172.559037,898,251.481013
-103.086219,1000,253.231431
-160.37822,538,254.077023
-160.999576,758,255.302875
-105.137005,1000,256.997878
-111.490265,1000,258.600775
-134.982475,489,259.467542
-146.331792,513,260.281114
-108.003478,1000,261.886068
-123.532343,233,262.278121
-193.473525,987,263.944814
-76.82941,1000,265.590296
-121.701844,172,265.869407
-93.823865,1000,267.602779
-110.297674,114,267.788117
-150.99852,575,268.765018
-153.152565,512,269.691486
-105.655463,1000,271.348221
-122.406411,1000,272.987466
-145.670366,384,273.716586
-97.849953,1000,275.370416
-144.145814,1000,276.995036
-112.467425,92,277.139027
-155.384203,641,278.1848
-112.531925,1000,279.818834
-130.095845,204,280.213159
-101.969591,1000,281.848165
-183.033245,994,283.586684
-92.845702,1000,285.230148
-108.015305,1000,286.889304
-189.441665,779,288.186178
-88.451276,1000,289.856771
-84.060589,1000,291.568567
-107.414041,80,291.697371
-108.394788,1000,293.303754
-151.945952,657,294.476299
-193.133543,864,295.895358
-172.286031,679,297.050596
-60.896601,1000,298.827641
-105.812769,146,299.087479
-97.959929,1000,300.89046
-122.495476,1000,302.493462
-112.457163,1000,304.156711
-102.374097,29,304.21328
-152.739246,636,305.276863
-156.803128,689,306.407337
-94.575736,1000,308.099543
-100.38951,7,308.11317
-175.785052,711,309.307206
-138.104211,523,310.182962
-179.636041,871,311.734946
-162.460847,597,312.716227
-169.203504,782,313.998796
-116.330718,1000,315.752578
-174.271728,491,316.514239
-163.943683,608,317.513707
-98.483591,1000,319.248063
-143.916695,348,319.840148
-79.175059,1000,321.563607
-165.458091,694,322.679038
-196.789499,968,324.246457
-187.597708,889,325.770154
-181.041599,801,327.097194
-180.349032,716,328.319314
-101.822895,37,328.401004
-132.616573,345,328.975475
-83.35836,1000,330.640795
-186.051628,795,332.043312
-103.721821,1000,333.670778
-102.265701,47,333.749345
-107.665117,1000,335.515005
-177.747887,794,336.862461
-102.642799,1000,338.535555
-121.823705,312,339.1543
-89.190836,1000,340.854786
-128.004025,297,341.352547
-167.413,628,342.470857
-188.91448,787,343.758193
-137.813868,347,344.325341
-105.266556,1000,346.007138
