#{"t_start": 1740037947.303053, "env_id": "None"}
r,l,t
-401.847736,2,1.468336
-401.952012,2,2.122639
-403.589153,4,3.433207
-429.651107,46,4.500239
-407.097507,13,4.787502
-411.596161,18,5.172812
-413.263347,18,5.573659
-428.397452,40,6.414542
-403.15494,6,6.538237
-405.603139,12,6.84947
-409.530501,14,7.149191
-403.079234,4,7.236569
-406.317854,7,7.383609
-415.924992,23,7.870821
-414.554187,19,8.280757
-403.525649,4,8.375271
-411.128094,22,8.842042
-407.265355,9,9.038312
-425.199888,39,9.897084
-402.307578,2,9.943974
-410.401408,18,10.40635
-401.833068,2,10.460514
-405.399277,6,10.61606
-409.598145,14,11.000192
-408.870533,10,11.217445
-404.116504,6,11.34833
-440.554268,62,12.6673
-404.116952,4,12.748032
-417.689662,28,13.355804
-417.179254,28,13.967275
-410.105038,18,14.358519
-406.472687,5,14.468564
-401.676834,3,14.534102
-408.915829,14,14.845834
-403.305869,5,14.95869
-414.517925,33,15.706159
398.738245,4,15.809389
-404.051624,5,15.915903
-402.204729,4,16.007553
-408.894439,10,16.244458
-452.131042,84,18.043672
-412.266453,18,18.429119
-413.826432,31,19.093272
-415.569779,13,19.375816
-424.092535,35,20.128491
-407.368322,7,20.286641
-413.070043,16,20.6297
-405.863729,7,20.771151
-406.376627,6,20.895018
-414.272824,19,21.293646
-404.978392,8,21.455625
-402.274516,6,21.586596
-411.834453,12,21.837848
-408.437045,17,22.20033
-410.040644,13,22.480283
-402.153228,3,22.595654
-412.469707,19,23.006482
-405.811968,8,23.181855
-410.430779,16,23.522785
-409.029692,11,23.775587
-401.89508,6,23.910203
-401.668734,3,23.977178
-404.947667,5,24.087639
-406.635711,9,24.274528
-407.398368,8,24.442762
-418.227569,30,25.093571
-403.385592,4,25.192868
-421.120559,33,25.970134
-450.679762,60,27.281894
-414.204365,20,27.735752
-419.738648,27,28.310228
-415.982038,23,28.814899
-410.444064,18,29.202296
-409.237733,14,29.50934
-407.473396,13,29.791067
-403.438744,3,29.864889
-422.221053,40,30.747903
-406.958115,7,30.898928
-426.609127,37,31.703752
-412.621408,20,32.176199
-413.90692,25,32.717992
-403.146188,4,32.804024
-403.876587,4,32.896753
-420.971116,31,33.561387
-418.759269,31,34.221772
396.748224,9,34.425881
-403.922312,3,34.495075
-401.048396,2,34.547026
-402.343678,3,34.607919
-408.551869,12,34.864157
-420.711,26,35.42928
-419.787974,32,36.103558
-407.823689,8,36.272631
-415.222521,26,36.836088
