#{"t_start": 1739515381.0507576, "env_id": "None"}
r,l,t
-223.323973,19,1.113907
-211.211318,7,1.251787
-214.001972,17,1.538039
-208.354009,7,1.667767
-298.740399,55,2.596786
-274.062294,37,3.225694
-234.304416,24,3.657993
-213.694533,10,3.836607
-208.567624,8,3.974563
-206.781667,5,4.067946
-202.254488,2,4.118364
-206.113223,8,4.268941
-254.247003,31,4.807379
-234.985705,33,5.344924
-205.268056,4,5.419935
-202.543377,2,5.467341
-221.854677,14,5.70315
-203.476196,3,5.762652
-229.343623,18,6.076246
281.656697,18,6.389727
-204.174601,3,6.431299
-215.582681,10,6.600859
-245.940027,27,7.065902
-255.78085,32,7.637338
-207.014793,5,7.730021
-202.778788,3,7.797034
-203.540359,6,7.921153
-203.784077,3,7.992255
-208.026669,13,8.300864
-268.228532,50,9.203992
-247.744112,27,9.651418
-215.652628,15,9.895859
-272.306471,48,10.712038
-202.512957,5,10.80573
-211.932597,11,10.994575
-204.799864,6,11.10516
-207.544217,5,11.203862
-207.488681,6,11.310973
-213.519147,16,11.591825
-210.366738,10,11.760489
-208.964116,9,11.928396
-209.155505,6,12.033836
-203.617669,5,12.12774
-204.787394,5,12.234004
-214.25873,8,12.376459
-205.493012,4,12.453224
-203.13891,3,12.517895
-268.325023,64,13.631873
-205.799751,9,13.797632
-205.715337,6,13.909559
-207.039515,7,14.030215
-204.173592,4,14.116439
-238.425661,23,14.536074
-212.39862,9,14.721182
-212.287745,10,14.909126
-245.435469,27,15.401741
-226.146186,22,15.789046
-222.553625,15,16.061589
-202.950254,4,16.140478
-205.424752,9,16.298059
-212.716834,7,16.421541
-203.602009,3,16.480624
-227.304256,15,16.729669
-208.550255,5,16.818907
-267.298099,35,17.417841
-204.535625,4,17.49317
-206.980848,5,17.582354
-220.700649,21,17.947983
-203.345391,4,18.035115
-215.123357,20,18.408035
-203.684483,4,18.48629
-206.646039,8,18.631285
-223.81759,23,19.022243
-224.870891,13,19.242003
-205.19788,3,19.303818
-226.224801,33,19.922973
-254.073652,45,20.678294
-214.283733,10,20.860614
-202.943345,2,20.908013
-218.252828,17,21.197842
-239.696743,32,21.749853
-258.096695,48,22.584832
-226.537974,33,23.201032
-215.187513,24,23.660622
-204.999064,4,23.742056
-206.338928,6,23.84762
